Title,Authors,DOI,PMID,PMCID
A group intervention to improve quality of life for people with advanced dementia living in care homes: the Namaste feasibility cluster RCT,"Froggatt K, Best A, Bunn F, Burnside G, Coast J, Dunleavy L, Goodman C, Hardwick B, Jackson C, Kinley J, Davidson Lund A, Lynch J, Mitchell P, Myring G, Patel S, Algorta GP, Preston N, Scott D, Silvera K, Walshe C.",10.3310/hta24060,31971506,PMC7008353
"Identifying Optimal Wearable Devices for Monitoring Mobility in Hospitalized Older Adults: Feasibility, Acceptability, and Validity Study","Nascimento P, Kirkwood R, Griffith LE, Duong M, Cooper C, Hao Y, Zheng R, Raza S, Beauchamp M.",10.2196/64372,40354640,PMC12088621
Comparing ActiGraph equations for estimating energy expenditure in older adults,"Aguilar-Farias N, Peeters GMEEG, Brychta RJ, Chen KY, Brown WJ.",10.1080/02640414.2018.1488437,29912666,PMC6298850
A study investigating the validity of an accelerometer in quantification of step count in adult hospital inpatients recovering from critical illness,"Anderson JL, Yoward LS, Green AJ.",10.1177/0269215519829893,30764647,
"Validity of the Stages of Change in Steps instrument (SoC-Step) for achieving the physical activity goal of 10,000 steps per day","Rosenkranz RR, Duncan MJ, Caperchione CM, Kolt GS, Vandelanotte C, Maeder AJ, Savage TN, Mummery WK.",10.1186/s12889-015-2539-y,26620188,PMC4666193
Validation of Fitbit-Flex as a measure of free-living physical activity in a community-based phase III cardiac rehabilitation population,"Alharbi M, Bauman A, Neubeck L, Gallagher R.",10.1177/2047487316634883,26907794,
[Long-term HR-Manometry of the Esophagus: first findings in clinical use],"Jell A, Wilhelm D, Ostler D, Feußner H, Hüser N.",10.1055/s-0042-105653,27612220,
Personalized Physician-Assisted Sleep Advice for Shift Workers: Algorithm Development and Validation Study,"Shen Y, Choto Olivier A, Yu H, Ito-Masui A, Sakamoto R, Shimaoka M, Sano A.",10.2196/65000,40168666,PMC12000788
"Validation of Gait Characteristics Extracted From Raw Accelerometry During Walking Against Measures of Physical Function, Mobility, Fatigability, and Fitness","Urbanek JK, Zipunnikov V, Harris T, Crainiceanu C, Harezlak J, Glynn NW.",10.1093/gerona/glx174,28958000,PMC5905654
Monitoring of Gait Quality in Patients With Chronic Pain of Lower Limbs,"Terrier P, Le Carre J, Connaissa ML, Leger B, Luthi F.",10.1109/TNSRE.2017.2688485,28368823,
